;Lens Epithelial Cells;Macrophage - monocyte derived;Mallassez-derived cells;Mammary Epithelial Cell;Mast cell;mature adipocyte;Melanocyte;Meningeal Cells;mesenchymal precursor cell - adipose;mesenchymal precursor cell - bone marrow;mesenchymal precursor cell - cardiac;Mesenchymal stem cells - adipose;Mesenchymal Stem Cells - amniotic membrane;Mesenchymal Stem Cells - bone marrow;Mesenchymal stem cells - hepatic;Mesenchymal stem cells - umbilical;Mesenchymal Stem Cells - Vertebral;Mesenchymal Stem Cells - Wharton Jelly;Mesothelial Cells;migratory langerhans cells;Multipotent Cord Blood Unrestricted Somatic Stem Cells;Myoblast;nasal epithelial cells;Natural Killer Cells;Neural stem cells;Neurons;Neutrophil;Nucleus Pulposus Cell;Olfactory epithelial cells;Oligodendrocyte - precursors;Osteoblast;Pancreatic stromal cells;Pericytes;Perineurial Cells;Placental Epithelial Cells;Preadipocyte - breast;Preadipocyte - omental;Preadipocyte - perirenal;Preadipocyte - subcutaneous;Preadipocyte - visceral;promyelocytes;Prostate Epithelial Cells;Prostate Stromal Cells;Renal Cortical Epithelial Cells;Renal Epithelial Cells;Renal Glomerular Endothelial Cells;Renal Mesangial Cells;Renal Proximal Tubular Epithelial Cell;Retinal Pigment Epithelial Cells;salivary acinar cells;Schwann Cells;Sebocyte;Sertoli Cells;Skeletal Muscle Cells;Skeletal muscle cells differentiated into Myotubes;Skeletal Muscle Satellite Cells;Small Airway Epithelial Cells;Smooth muscle cells - airway;Smooth Muscle Cells - Aortic;Smooth Muscle Cells - Bladder;Smooth Muscle Cells - Brachiocephalic;Smooth Muscle Cells - Brain Vascular;Smooth Muscle Cells - Bronchial;Smooth Muscle Cells - Carotid;Smooth Muscle Cells - Colonic;Smooth Muscle Cells - Coronary Artery;Smooth Muscle Cells - Esophageal;Smooth Muscle Cells - Internal Thoracic Artery;Smooth Muscle Cells - Intestinal;Smooth Muscle Cells - Prostate;Smooth Muscle Cells - Pulmonary Artery;Smooth Muscle Cells - Subclavian Artery;Smooth Muscle Cells - Tracheal;Smooth Muscle Cells - Umbilical artery;Smooth Muscle Cells - Umbilical Vein;Smooth Muscle Cells - Uterine;Synoviocyte;tenocyte;Trabecular Meshwork Cells;Tracheal Epithelial Cells;Urothelial cells;Adipocyte - breast;Adipocyte - omental;Adipocyte - perirenal;Adipocyte - subcutaneous;Alveolar Epithelial Cells;Amniotic Epithelial Cells;amniotic membrane cells;Anulus Pulposus Cell;Astrocyte - cerebellum;Astrocyte - cerebral cortex;Basophils;Bronchial Epithelial Cell;Cardiac Myocyte;CD133+ stem cells - adult bone marrow derived;CD133+ stem cells - cord blood derived;CD14+ monocyte derived endothelial progenitor cells;CD14+ Monocytes;CD14+ CD16- Monocytes;CD14+ CD16+ Monocytes;CD14- CD16+ Monocytes;CD19+ B Cells;CD34 cells differentiated to erythrocyte lineage;CD34+ Progenitors;CD34+ stem cells - adult bone marrow derived;CD4+ T Cells;CD4+CD25+CD45RA- memory regulatory T cells;CD4+CD25+CD45RA+ naive regulatory T cells;CD4+CD25-CD45RA- memory conventional T cells;CD4+CD25-CD45RA+ naive conventional T cells;CD8+ T Cells;Chondrocyte;chorionic membrane cells;Ciliary Epithelial Cells;common myeloid progenitor CMP;Corneal Epithelial Cells;Dendritic Cells - monocyte immature derived;Dendritic Cells - plasmacytoid;Endothelial Cells - Aortic;Endothelial Cells - Artery;Endothelial Cells - Lymphatic;Endothelial Cells - Microvascular;Endothelial Cells - Thoracic;Endothelial Cells - Umbilical vein;Endothelial Cells - Vein;Eosinophils;Esophageal Epithelial Cells;Fibroblast - Aortic Adventitial;Fibroblast - Cardiac;Fibroblast - Choroid Plexus;Fibroblast - Conjunctival;Fibroblast - Dermal;Fibroblast - Gingival;Fibroblast - Lung;Fibroblast - Lymphatic;Fibroblast - Mammary;Fibroblast - Periodontal Ligament;Fibroblast - Pulmonary Artery;Fibroblast - skin;Fibroblast - Villous Mesenchymal;gamma delta positive T cells;Gingival epithelial cells;granulocyte macrophage progenitor;Hair Follicle Dermal Papilla Cells;Hair Follicle Outer Root Sheath Cells;Hepatic Sinusoidal Endothelial Cells;Hepatic Stellate Cells (lipocyte);Hepatocyte;immature langerhans cells;Intestinal epithelial cells (polarized);Iris Pigment Epithelial Cells;Keratinocyte - epidermal;Keratinocyte - oral;tpm.Keratocytes%2c%20donor1.CNhs11337.11527-119I6;tpm.Keratocytes%2c%20donor2.CNhs12095.11607-120I5;tpm.Keratocytes%2c%20donor3.CNhs12921.11688-122I5
chr15:41186609..41186636,+;1.647307206;4.209067091;0.999379172;0.463494933;3.078275502;0.97053461;5.969327582;2.689236811;3.068623396;3.404121722;2.752385678;1.512637033;3.433517418;3.002604733;1.640811884;3.415101844;1.335367702;0.90490201;1.292775071;2.329701932;2.801240887;2.514784406;0.650672127;0.912344314;1.031841206;3.054277206;0;2.2922446;2.89214815;1.691544435;2.659837568;2.51962482;5.862052375;1.992360388;3.733234585;2.239125513;2.478095012;2.968361329;2.773242386;1.618252922;0;0.992561969;2.930047285;1.628598723;3.83387742;2.689087605;1.495160045;0.979651119;2.021171987;0.368563997;4.494678344;2.026143622;0;3.334290421;3.29879887;1.943288994;0.501320408;2.222288251;2.293918894;3.732558626;2.606063037;2.580028578;4.69650885;12.11405724;2.184404474;3.112347276;1.903462401;2.803075945;2.058663597;2.809479691;2.907554303;3.115318706;3.342631138;2.281303767;2.558723122;4.142825019;1.950389148;3.627144843;4.903867234;1.002282359;1.042223915;1.599326685;3.177296964;2.617015572;4.221584203;2.068742083;0.306363698;1.200009311;2.16997248;3.044064244;2.022201957;1.34589048;1.139573393;1.480497085;1.468002197;0;3.520760856;1.222066049;1.630249391;1.198499262;1.227347886;1.233694477;0.219259877;0;1.811802133;0.932068852;1.065413351;0.829022809;0.896487036;1.169446041;1.352954942;1.407760455;1.959365977;1.297835472;0;0.368621391;1.579412094;1.352863128;3.206320716;3.03357934;0.995383902;4.013798601;3.274767757;1.877444566;1.998494522;0;0.145364684;1.894690185;3.168477092;2.171152629;1.87180373;2.710860246;1.795225823;2.453412971;2.781826087;4.778703607;1.894106781;1.474618381;2.144335983;2.205435017;2.747047476;0.659267827;0;4.785092391;1.650615338;2.16520425;3.068344562;0.196929969;0.562434729;0.737930631;2.230381534;0.816828687;0.833296006;0.977424916;2.079869571;3.518893631
chr15:41186637..41186686,+;15.6378348;22.92764684;8.474317225;4.957600686;12.86700722;4.218739115;33.2689652;8.546473725;11.30733222;12.1916197;12.01190328;20.4882021;12.25957098;13.06033208;13.46147243;15.73509201;10.68294161;13.44425844;16.64759594;13.05270064;10.44053393;12.16034795;8.085003097;12.01058587;8.716530767;11.3472948;13.09664987;12.27074906;9.852156936;10.14926661;12.19806902;11.90305518;18.78479507;11.91656708;20.74593444;9.015451382;12.50923946;19.29434864;12.49099211;10.57413319;6.12721804;8.942597811;12.76540826;12.69272895;22.73133091;22.21397904;19.94767278;10.88996647;16.96630494;4.67178596;9.960092703;12.20028079;10.79853569;11.64017235;10.63226464;6.829142916;5.566531796;10.99012816;17.09204035;4.976744835;7.630071847;11.74749058;16.22705748;21.1584475;11.53702911;17.61249077;11.54056932;12.08368223;9.058119829;12.91954461;11.50326123;11.87249027;14.39488607;11.52428737;25.96405256;20.24297292;8.746567598;10.42553063;13.04980372;11.72748226;11.79239901;12.05504547;10.42515523;11.34040081;9.722810714;19.49392688;11.50630332;5.889893052;9.20099813;15.66398039;7.474575758;18.84017809;11.71295087;11.93476259;2.348803515;0;19.48901745;13.49220164;10.54646669;9.299373269;8.955468043;8.862687745;2.053499036;5.985687991;5.994982406;6.234051874;7.13518978;5.986602095;5.439419322;5.526700246;7.074584755;9.074613444;9.315119536;7.036096639;3.741999996;6.07959744;13.59454458;8.702669766;15.7951389;18.80744599;15.50321715;17.86695623;14.90318647;9.046971118;17.2958091;18.63649356;22.87376735;11.64314289;10.86189264;11.62666203;9.128156872;8.689243825;6.954554605;13.44458777;12.21606438;18.45414528;7.633300423;11.34321832;7.091232186;12.31627068;8.694527278;9.01298118;1.277465881;10.61098548;10.80498246;14.09892098;14.96714408;5.923973481;13.46623364;6.641375681;13.21072139;9.014460214;5.277541374;16.29041527;15.59902178;11.31072953
chr15:41245661..41245679,+;16.01156195;0;6.439962769;51.6286545;2.465466988;1.74746199;12.27448423;9.034197078;25.38234092;8.391826367;26.8558654;46.16405646;47.84704146;7.59646173;56.78843005;61.44028396;2.403661863;21.58837653;7.95387557;3.112537994;131.9593011;5.864380756;94.97286679;1.049897093;9.60251631;7.923563851;0.124834504;13.93849064;40.40032224;52.43787747;69.78000751;10.16538289;39.31197417;16.48504542;75.95024739;99.43476267;62.31122034;40.07287794;14.41299807;3.083142743;0;39.18389857;63.93501096;35.78598651;18.79307497;10.09971093;11.75191421;54.59815873;18.82938543;6.813162833;55.73004107;33.19273575;51.67767865;42.79462229;135.2679871;5.659319049;90.26770659;21.51475542;13.88775556;3.732558626;28.25576823;4.584025873;47.1138652;77.84199743;28.65057051;11.57385896;24.33009983;17.50500881;9.469852548;53.7652617;15.14076774;36.93090211;7.222928602;18.88176632;45.31566032;24.66564841;9.790591399;5.649094141;342.9195923;100.8658282;29.81759352;39.94853209;24.27213304;24.42547867;14.98325944;76.60676177;14.98054784;9.259521283;1.343509693;40.20060854;4.514343341;0.64717517;55.76455886;18.8810383;0.293600439;0;0.215929111;30.23757773;0.087501841;0;0;1.508412335;34.52990345;2.16247613;0.230576246;0.383934559;0.156171756;0.241869101;0.116175439;0.152991716;0.242230305;36.74051992;7.136435959;2.57231529;0;91.56870794;0.349057036;0.486128959;8.055895126;4.844149091;4.168743072;3.574944733;7.658940611;2.551175517;6.262962394;0.439268058;131.3158786;30.00783442;40.07849773;31.10836649;132.9978806;21.18934121;22.29258836;23.58023407;170.8953933;85.19266612;38.25910669;12.93126888;41.36944334;40.69621337;0;3.905290256;0;17.941035;1.650615338;15.27906753;20.01446336;12.88988781;10.62321304;14.63562419;7.548983653;69.5398911;13.05497077;74.93591022;57.19641319;61.07793946
chr15:41408409..41408497,-;4.309692614;7.04059212;2.414441256;5.938979204;10.03497593;6.407512448;4.532502975;5.174469459;3.448660171;4.364252427;4.273881089;5.184247299;4.981789923;2.554965371;3.724186775;3.131314961;2.937808944;5.300140346;4.40312028;5.038296604;6.056979026;4.865025692;9.922759204;18.0418181;8.778381602;6.45651083;24.04139577;3.797589526;5.886713561;3.383088869;4.947173973;6.081853013;2.876146137;3.545953348;5.246906367;4.354197122;4.436523607;1.484180664;4.10984923;2.792878248;19.91949628;3.828549106;4.632652;3.768689548;4.387685392;4.264068246;3.948931556;4.938784294;3.305453498;5.819962077;2.695344897;6.062190212;10.50916072;5.239747098;4.372923562;6.341394208;4.799734466;4.330390021;5.178914339;1.244186209;4.07933534;5.10088533;2.779439418;41.75964497;4.271347472;2.949879915;4.63244864;3.407718095;3.087995396;4.581939847;18.7368603;4.334245065;2.208658461;4.625451978;4.656060532;4.728284943;4.622144686;4.668380002;8.108315216;7.381675716;3.197482521;3.40632665;5.068070222;4.361692621;4.021094185;3.836106013;3.998798468;9.370556771;4.505643648;4.755457936;6.057895996;15.01597219;3.366245629;9.518487471;16.4416246;9.596285742;7.532896667;11.16560408;11.16415638;7.674720482;12.55043585;18.25958643;7.037536615;19.46228517;5.370251411;11.32658196;7.98066738;11.68397078;12.08926275;9.596761798;12.44910275;5.363362103;5.875365578;6.568729635;40.36722311;1.840943905;7.96801308;13.32072327;5.089583064;4.369635748;6.886711768;4.581104982;4.415164892;7.635816255;2.948452544;7.806011871;1.162917472;4.855171606;5.824414799;3.17214705;6.263600748;5.628846143;6.057305685;5.892932;2.542286707;6.256906531;7.496504815;2.949236762;5.163653402;2.446095076;9.864291607;4.318922403;14.47794665;2.974915885;4.641561452;2.519595803;2.011359704;10.07739987;23.22403168;6.641375681;4.803898688;6.145421412;6.573779606;6.190357801;1.039934785;4.272942267
chr15:41408648..41408789,-;1.156411815;1.41854877;1.59537548;1.903664132;2.625117845;1.805557088;1.571084701;0.606716071;1.648388709;2.22059335;0.897960801;1.057009207;0.918944359;1.203260095;1.045761248;1.710942568;0.534147081;1.809804021;2.75676586;0.692066788;0.813934535;1.371052903;3.821013035;3.205981125;1.682540475;2.80947805;11.49083519;0.493900818;1.224528965;1.691544435;2.094961629;1.650788675;0.699833236;0.713653347;3.432810366;0.512491759;1.559253821;1.484180664;1.195064576;0.558398805;2.54428487;4.276125711;2.271953522;0.841722503;0.628451475;0.459600921;0.786037245;1.544035631;2.555474305;1.468665485;0.607994092;1.706493444;0;2.445794136;1.216445812;1.845157955;4.483726239;0.853067235;2.88086106;2.488372417;0.943909502;0.589145998;1.581643053;7.58340188;1.367097842;0.477390288;2.074556914;1.502860988;0.823465439;1.242480991;8.064149786;1.469466756;0.295603576;1.162435511;1.041663377;0.754127681;0.686994599;0.834681784;1.458815788;2.593137101;0.394007627;0.931030213;1.010778711;0;0.261185628;0.64215695;0.903982559;1.184001253;0.536997747;0.695283851;1.282724914;6.488828874;0.649974376;2.104671186;7.633611423;9.596285742;1.768032762;6.858627318;4.423254894;2.535954154;2.202188075;4.707466123;1.180650532;8.930158803;2.470262345;1.628956054;1.433026268;1.349287748;1.085694685;1.773226463;1.781231068;2.162806532;0.923074576;2.435137487;16.6678898;0.121431763;1.125947298;7.612874676;0.920193264;1.06448028;1.200305177;1.331576326;1.361636568;2.093652599;1.888138035;13.44088674;16.75628797;1.566611848;1.547187195;0.6965834;2.225361671;1.276380145;1.334259633;0.771082934;1.932166624;0.116679839;0.893725373;0.226864366;1.02896732;0.55280578;2.103272409;1.323792391;5.455576686;0.214413646;0;2.273543985;1.038794386;2.651352051;9.452537064;1.844826578;0.343135621;2.017168111;0.740707561;3.258083053;1.039934785;1.00539818
chr15:41523335..41523350,+;3.415472449;2.217079691;3.229720582;4.324434976;2.936086764;16.70550308;15.26921358;6.050270244;2.080124242;1.451804527;1.526383603;1.853854363;4.352461778;2.822154848;1.876377818;4.680211989;4.273176646;1.939075736;17.9436955;2.088189736;4.094425133;1.449358158;1.693440394;11.78120695;7.873587709;11.1284897;12.7468154;2.355321872;2.761603095;3.383088869;4.128039916;3.040926506;4.722862002;2.734796128;11.24952169;1.694081467;2.787708168;2.968361329;1.737148088;1.845750647;10.57971656;6.423338336;3.195475975;4.462211816;3.733769311;5.963555113;7.2109774;6.431825454;5.051533025;4.723783908;7.955327934;6.775381457;1.896214273;1.946781496;2.881286179;2.452114534;3.40702413;1.865159673;1.887936636;6.220931043;1.932558358;2.688163517;3.119193804;1.470869184;2.775210479;1.966169766;3.738501372;1.838256021;2.470396317;2.772678367;4.485231394;3.640290916;4.588644498;3.928345257;3.112826215;1.162207073;1.565000984;0.948319297;7.218581974;2.123789503;3.548990302;8.492749422;5.130995765;0.872338524;16.52388119;5.472726582;10.06932903;4.557435291;1.77872258;5.771319163;5.095451281;6.754184783;5.467581332;2.524322946;5.284807908;9.596285742;0.868803168;7.155699828;3.102884042;1.688767195;2.594603921;2.667147208;3.891929198;7.708793597;5.172483003;5.625241355;5.548346524;4.590948632;4.873267254;3.45282848;6.130159333;1.248967877;2.421056214;4.585143924;8.731333325;9.333175661;6.306990941;5.301042348;4.504606837;3.734777477;3.43001321;3.508719556;4.527388573;5.457895772;6.514062742;9.530849416;7.271495569;3.591834138;2.724912065;2.957773296;3.45381936;2.353684536;3.130337104;3.224495905;7.051791647;2.614345181;2.934682028;1.814914931;1.650920857;4.314199521;2.83555799;5.547728615;9.242851106;5.184848335;3.326558265;4.079615391;3.604958185;62.85154242;13.99646851;12.17585542;4.117627447;5.576302849;4.166480032;0.651616611;6.239608712;0.754048635
chr15:41523417..41523529,+;98.44384426;102.1819476;121.5472373;111.2431682;117.1060659;434.5026623;216.6850288;128.6310693;79.30490117;100.3475419;99.38714602;103.7241245;103.6904255;103.4776503;150.8366376;156.0315397;86.53182707;124.8764774;241.6083709;99.24683194;87.18500194;79.06104438;83.17763167;45.11198551;82.00610164;39.70138068;223.3427188;150.6671602;156.760805;134.1958585;87.30799162;121.028875;159.3772486;109.1499136;80.50557496;102.365004;96.45042837;102.4084658;77.74970851;79.46222873;32.50489919;120.4283026;92.1716456;127.7581196;114.7982572;115.7892894;140.5325714;164.8388234;98.46158838;198.5987689;88.1109457;216.3633319;79.12335728;89.51625769;114.4611407;106.1535061;129.3337254;102.2666492;108.1356454;126.9069933;114.7830908;105.468549;165.9621563;98.43495641;99.51757149;125.150525;142.2926065;111.0531866;65.87723512;114.6827786;110.6373351;126.7121322;183.580391;140.0471276;113.372134;85.16869739;103.6089502;73.85448037;134.5717864;138.6301153;146.5083962;164.4334912;123.5362497;90.72320651;341.7682761;117.5909629;142.5954996;72.67197521;165.7592972;127.1716616;66.00348876;196.0211661;166.8484735;144.4327208;38.75525799;47.98142871;106.8678912;200.2377489;169.7035449;93.18965357;88.02009663;24.5969431;48.48669918;56.22077768;42.66213385;34.08552327;40.69715812;35.1403787;33.02697606;31.41906027;29.22999167;116.2412638;71.48977754;92.93923533;54.99300274;180.8516275;135.487297;47.59713259;142.9176829;120.6264549;111.0251184;116.4313676;100.8070505;112.4134887;117.9968995;313.1246353;185.4004424;110.9791993;117.299016;139.4603642;157.9167772;105.8367947;132.5797874;113.6885584;308.5406068;224.9031843;110.7482462;57.85041341;99.06194759;168.3870991;38.55800746;139.1733966;55.05656265;92.25068723;153.4206545;126.4010773;131.3111118;177.4795524;140.1270373;109.8286756;82.52411675;166.3989955;151.8450501;47.24220427;127.9119786;66.60762945
chr15:41523530..41523545,+;2.91310736;0.805941297;1.984644891;2.734264411;2.241736766;31.51200772;7.418286111;6.039685744;1.554444795;1.705311306;2.157466159;1.756939171;6.311480506;5.588539317;7.178739407;5.104951753;4.807323726;3.102521178;12.62913073;0.706419768;4.119177592;2.268239364;1.543327608;0.368154809;1.28593583;0.313601693;4.026130258;5.212276628;2.328644262;4.510785159;2.369820945;6.863805543;5.761041282;3.96240739;0.504475341;3.371886791;3.580675138;2.968361329;3.061333169;2.463962042;0;2.855145387;4.750866251;3.103166773;2.583003211;5.656110824;4.58113991;5.269634938;4.591228783;3.498149983;1.999561295;3.149409795;1.606839298;1.863679523;2.659558348;3.121461233;2.673171622;3.28993133;4.004837107;8.709303461;3.178386687;3.66235173;7.04800928;1.902179834;4.307798552;4.613162835;3.516035376;2.428671106;4.117327195;6.583700657;5.763348239;3.415302826;5.976170224;2.485170439;3.564995346;3.557365096;2.176568671;2.134785585;4.382252108;1.994409181;4.329773339;12.39854865;6.454602831;3.489354096;19.53043735;3.353055984;2.104678054;0.832673846;4.713274671;3.488550303;1.206969462;3.139928904;2.45441517;4.288027301;0;0;1.364413879;2.980140442;2.23737087;1.269000233;0.782952169;0.139883944;0.371065389;0;0.098884204;0.076168515;0.021348553;0.085887479;0.18946395;0.046058336;0.041598179;3.095025201;1.432154027;2.54331716;0;5.279154273;1.642508221;0.270161845;20.56951928;12.73845195;8.459633491;8.369854087;9.014161324;15.17986104;15.09194154;3.049673113;4.266204976;4.334973356;4.415921264;4.022709132;4.183479092;3.598607482;3.040387306;7.925590543;13.90534578;6.326197639;3.270572363;2.722372396;2.126018139;8.592656212;0.252162351;1.730065239;0;2.39272365;6.910628084;12.76032216;8.468867622;5.458570757;1.561210575;2.828734086;2.745084965;2.413357018;2.8702418;0.977424916;3.119804356;1.256747725
chr15:41576180..41576213,+;24.54117251;36.54439593;31.90660844;20.40645325;33.02394266;43.38385478;28.0591659;17.84969074;19.74598921;21.05714923;28.60472325;14.22592236;10.82058944;12.89047218;23.75576095;12.07571887;18.69514782;13.31498672;29.66800302;40.97368223;17.40650746;18.04247284;40.99633978;17.71213083;16.50945929;35.97719799;31.05750462;15.89928072;23.85288403;29.88395168;10.27362686;18.50620988;7.190597663;27.80726077;12.50816353;16.26775107;19.34483243;5.936722658;14.89886889;18.84355733;44.55804673;33.67623492;14.60280573;18.00678721;12.69653174;15.13762009;10.44009756;19.71393375;24.03043788;19.15406973;14.92444372;19.79893735;17.00122318;16.54087191;16.03742653;24.60802848;32.34129704;12.6830361;10.21143357;11.19767588;16.05635185;21.41185142;22.9063681;10.57675355;26.29325987;9.123300049;9.863728076;11.67274416;25.52742861;11.83887833;10.48349875;10.17419366;12.80537439;8.564179772;19.17073823;10.81254136;15.69897594;18.52697652;12.34262063;11.21133332;15.43816563;17.56017139;13.51957948;9.595723765;14.76236158;7.66648276;15.64436154;37.45177446;13.82025487;14.29536165;35.60494076;21.54715005;15.20053748;26.13923363;61.06889138;19.19257148;29.13619163;11.7481178;25.63299421;19.22661246;25.50066462;44.69597679;62.94567636;23.92916543;65.36209709;43.95689304;47.8210262;51.35008672;39.23074525;47.82494348;37.16286914;16.24290657;23.57640467;32.37976807;45.80911293;15.25906658;36.09391816;36.88631524;10.4082141;12.5908545;18.11156863;8.716165872;6.842382808;25.88515513;9.167072351;17.76909795;5.476490221;18.61188622;17.63130213;17.48185661;16.88054025;16.751589;19.61597321;16.19720752;6.591910306;11.30760479;18.24782761;23.14016536;13.14747839;13.08661937;27.06041903;26.1136291;31.71146095;12.94485661;21.04640447;12.36200146;15.24335193;35.45826766;18.37483925;26.07354897;27.45084965;23.70251345;25.18405708;14.98718204;8.319478282;24.12955633
chr15:41624754..41624796,-;4.130052167;3.867535985;2.875838037;10.92315589;2.068920304;0.215845262;5.868317188;9.538734795;3.506923601;0.863843318;2.493956964;7.431043373;3.398000273;9.200717919;0.522883953;6.406014027;9.881720993;0.129271716;0.723727448;0.886728976;1.07831185;5.512374785;0.829436347;0.475324451;6.287169128;6.477954966;3.159755432;0.77692804;1.982704962;3.383088869;6.518088106;3.735995422;2.894074137;6.276624311;6.810082419;0.404713998;0.704652412;0;6.129446721;5.72414332;23.44734995;4.961674854;6.637129881;4.599519641;6.15660115;8.420970804;3.161968041;10.32464337;7.525757636;0.845349809;9.288653812;1.504258877;6.716732169;6.347194334;4.427212641;8.893496844;0.232723436;1.467801757;2.26683502;2.488372417;2.551320293;4.312007119;3.198722391;1.004123792;5.594278291;2.039195091;3.982318242;0.397803088;15.8517097;2.115891071;3.140624948;1.323316461;5.096593764;2.444530781;2.478667086;3.485579539;1.300221656;2.836130477;9.070758495;4.865533826;1.134061184;1.161341809;0.623519097;2.617015572;2.407447604;7.890665305;8.976160316;6.319238466;1.095976987;10.58678851;22.38317138;0.492359047;2.827344851;3.461211613;19.08402856;0;0.2796816;0.164891025;0.510732952;0.351927059;0.49986626;1.399388163;46.53052263;1.601967567;17.75713511;3.396506441;3.107954327;1.653558316;4.965458259;5.131512358;0.800515916;4.40765319;1.717980664;7.937933799;15.42055647;6.181732752;0.430193884;0.664142857;3.379186705;4.999156226;2.10955016;2.996104621;3.56761505;10.29983445;7.552552139;0;2.325834945;5.550688087;3.108604377;4.420358416;3.016715452;6.346440935;6.962145133;6.766946066;3.388600329;4.342640383;7.333377008;11.68351487;2.653677213;8.588552063;0.289733012;3.628473329;14.5382102;4.417313802;0.232183964;5.801978118;4.915375687;0.72146901;2.222525584;13.28275136;4.803898688;4.323047637;3.425772471;5.212932885;10.39934785;0.251349545
