k;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value
;Adipocyte - omental;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr4:131046714-131047110, chr11:63377121-63377300; chr6:134210625..134210636,+, chr1:110993679..110993688,+; 59.980192154878424; chr4:131046714-131047110, chr11:63377121-63377300; chr6:134210625..134210636,+, chr6:11532480..11532521,+; 53.46532696788946; chr4:131046714-131047110, chr11:63377121-63377300; chr6:134210625..134210636,+, chr15:83330983..83330997,-; 51.523276678815598; chr4:131046714-131047110, chr11:63377121-63377300; chr6:134210625..134210636,+, chrX:99848351..99848362,+; 50.809743825002521; chr4:131046714-131047110, chr11:63377121-63377300; chr6:134210625..134210636,+, chr3:186572221..186572231,+; 50.276145343020573
3;chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chrX:99848833..99848846,+; 62.719802156159773; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr6:11532480..11532521,+; 61.274161596547039; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chrX:99848351..99848362,+; 58.918602025483438; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr5:150138790..150138796,-; 57.050306777119843; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr3:186572221..186572231,+; 54.447076942584403
4;chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555, chr18:8140065-8140370; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr3:186572221..186572231,+, chrX:99848351..99848362,+; 61.050639339876298; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555, chr18:8140065-8140370; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr3:186572221..186572231,+, chrX:99848833..99848846,+; 60.369765080429438; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555, chr18:8140065-8140370; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr3:186572221..186572231,+, chr6:11532480..11532521,+; 59.491795640616388; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555, chr18:8140065-8140370; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr17:41003393..41003400,+, chrX:99848351..99848362,+; 56.385510442613608; chr4:131046714-131047110, chr11:63377121-63377300, chr11:76531283-76531555, chr18:8140065-8140370; chr6:134210625..134210636,+, chr15:83330983..83330997,-, chr17:41003393..41003400,+, chrX:99848833..99848846,+; 54.321712149027071
;Adipocyte - subcutaneous;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr2:74939422-74939597, chr14:95992355-95992583; chr5:98109731..98109740,+, chr17:41003146..41003150,+; 44.183195234808025; chr2:74939422-74939597, chr14:95992355-95992583; chr5:98109731..98109740,+, chr3:186575301..186575315,+; 41.726160364286478; chr2:74939422-74939597, chr14:95992355-95992583; chr5:98109731..98109740,+, chr22:37099712..37099728,+; 40.168797352920535; chr2:74939422-74939597, chr14:95992355-95992583; chr5:98109731..98109740,+, chr3:186572114..186572128,+; 39.93302127948666; chr2:74939422-74939597, chr14:95992355-95992583; chr5:98109731..98109740,+, chr3:186572519..186572536,+; 39.498696933687391
3;chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chrX:2742111..2742121,-; 49.534052694366039; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr3:186572519..186572536,+; 49.216388660782599; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr12:109568972..109568988,+; 48.241860015382571; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr11:77778807..77778816,+; 47.528461973860459; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr11:77779110..77779122,+; 46.529704715729494
4;chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881, chr11:63377121-63377300; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr3:186572519..186572536,+, chr22:37099712..37099728,+; 52.09665416241365; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881, chr11:63377121-63377300; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr3:186572371..186572386,+, chr22:37099712..37099728,+; 49.145113114285152; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881, chr11:63377121-63377300; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr3:186572519..186572536,+, chr3:186575301..186575315,+; 47.697033648619467; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881, chr11:63377121-63377300; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr3:186572519..186572536,+, chr11:77779110..77779122,+; 47.123665851190538; chr2:74939422-74939597, chr14:95992355-95992583, chr12:109553563-109553881, chr11:63377121-63377300; chr5:98109731..98109740,+, chr17:41003146..41003150,+, chr3:186572519..186572536,+, chr12:50503990..50504003,+; 46.64477342947432
